,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,975866.8478222504
2,2021-10-05,989773.8321362153
3,2021-10-06,996232.7338390962
4,2021-10-07,1005328.293165268
5,2021-10-08,1001571.6538525239
6,2021-10-11,996035.1020336762
7,2021-10-12,990894.2225781098
8,2021-10-13,996957.8606701508
9,2021-10-14,1019432.8070965424
10,2021-10-15,1027606.0165386811
11,2021-10-18,1036305.8013134614
12,2021-10-19,1046587.6624127046
13,2021-10-20,1043687.8704052583
14,2021-10-21,1047708.2572308198
15,2021-10-22,1044083.2362042085
16,2021-10-25,1047510.5232372895
17,2021-10-26,1050476.3287640228
18,2021-10-27,1049553.5701275482
19,2021-10-28,1060098.974363388
20,2021-10-29,1064646.8562145843
21,2021-11-01,1063065.0864544525
22,2021-11-02,1072424.3932934417
23,2021-11-03,1078685.765379013
24,2021-11-04,1095558.453031601
25,2021-11-05,1101226.520948471
26,2021-11-08,1107158.5407543792
27,2021-11-09,1102610.8632794037
28,2021-11-10,1084419.74462706
29,2021-11-11,1089494.9171276703
30,2021-11-12,1102742.5837536468
31,2021-11-15,1101622.1933117523
32,2021-11-16,1113222.1788464203
33,2021-11-17,1109860.803144516
34,2021-11-18,1120933.6002178802
35,2021-11-19,1129106.4009075775
36,2021-11-22,1116517.7454052581
37,2021-11-23,1113947.1013012542
38,2021-11-24,1122054.092847885
39,2021-11-26,1094042.5946026458
40,2021-11-29,1121394.8773480072
41,2021-11-30,1112035.7748852386
42,2021-12-01,1096810.666135849
43,2021-12-02,1106894.9976177826
44,2021-12-03,1088374.322309555
45,2021-12-06,1098722.094739975
46,2021-12-07,1137081.3654156341
47,2021-12-08,1142288.2583904876
48,2021-12-09,1129963.3504009857
49,2021-12-10,1152636.133009018
50,2021-12-13,1135499.5956555023
51,2021-12-14,1116847.1998730316
52,2021-12-15,1146440.570066513
53,2021-12-16,1113947.1013012542
54,2021-12-17,1106499.6318188324
55,2021-12-20,1093338.927274765
56,2021-12-21,1121007.073469223
57,2021-12-22,1135666.7754040374
58,2021-12-23,1142006.117017807
59,2021-12-27,1166504.796781601
60,2021-12-28,1160429.5092449798
61,2021-12-29,1161420.0185986175
62,2021-12-30,1153760.1000347747
63,2021-12-31,1148147.2136974945
64,2022-01-03,1159043.0209637298
