date,a2c,dji
2021-10-01,1000000.0,1000000.0
2021-10-04,975866.8478222504,990574.6455164986
2021-10-05,989773.8321362153,999656.560502364
2021-10-06,996232.7338390962,1002637.2466394025
2021-10-07,1005328.293165268,1012482.5122383039
2021-10-08,1001571.6538525239,1012229.3138015111
2021-10-11,996035.1020336762,1004940.7265304396
2021-10-12,990894.2225781098,1001511.3386242893
2021-10-13,996957.8606701508,1001495.8622254562
2021-10-14,1019432.8070965424,1017074.2232156451
2021-10-15,1027606.0165386811,1028208.5817997096
2021-10-18,1036305.8013134614,1027155.3900997022
2021-10-19,1046587.6624127046,1032943.9046544586
2021-10-20,1043687.8704052583,1037372.8858499513
2021-10-21,1047708.2572308198,1037190.4691784104
2021-10-22,1044083.2362042085,1039344.5335424772
2021-10-25,1047510.5232372895,1041212.7397163314
2021-10-26,1050476.3287640228,1041671.0004376635
2021-10-27,1049553.5701275482,1033916.4142458431
2021-10-28,1060098.974363388,1040901.9599721152
2021-10-29,1064646.8562145843,1043496.9879058771
2021-11-01,1063065.0864544525,1046243.5935105638
2021-11-02,1072424.3932934417,1050286.8027057296
2021-11-03,1078685.765379013,1053344.1880546326
2021-11-04,1095558.453031601,1052372.7026367004
2021-11-05,1101226.520948471,1058307.4464010203
2021-11-08,1107158.5407543792,1061345.0310631809
2021-11-09,1102610.8632794037,1058075.300418523
2021-11-10,1084419.74462706,1051082.471681035
2021-11-11,1089494.9171276703,1046458.8975296255
2021-11-12,1102742.5837536468,1051675.8095010067
2021-11-15,1101622.1933117523,1051301.1896116037
2021-11-16,1113222.1788464203,1052896.7380530736
2021-11-17,1109860.803144516,1046744.9833139386
2021-11-18,1120933.6002178802,1044994.1018988858
2021-11-19,1129106.4009075775,1037158.4922072919
2021-11-22,1116517.7454052581,1037661.58896642
2021-11-23,1113947.1013012542,1043329.2510538177
2021-11-24,1122054.092847885,1043054.7725686292
2021-11-26,1094042.5946026458,1016689.1339976199
2021-11-29,1121394.8773480072,1023581.821330893
2021-11-30,1112035.7748852386,1004581.241648719
2021-12-01,1096810.666135849,991131.5682803923
2021-12-02,1106894.9976177826,1009127.8889941637
2021-12-03,1088374.322309555,1007388.3872841356
2021-12-06,1098722.094739975,1026235.4547455304
2021-12-07,1137081.3654156341,1040580.0281169752
2021-12-08,1142288.2583904876,1041608.9810452805
2021-12-09,1129963.3504009857,1041607.2740895269
2021-12-10,1152636.133009018,1047908.4443556322
2021-12-13,1135499.5956555023,1038585.0520291493
2021-12-14,1116847.1998730316,1035474.6372548327
2021-12-15,1146440.570066513,1046639.4934483625
2021-12-16,1113947.1013012542,1045771.6771432024
2021-12-17,1106499.6318188324,1030267.6256268226
2021-12-20,1093338.927274765,1017645.256813769
2021-12-21,1121007.073469223,1033974.9059296683
2021-12-22,1135666.7754040374,1041583.9456942269
2021-12-23,1142006.117017807,1047313.2857828566
2021-12-27,1166504.796781601,1057562.5309101238
2021-12-28,1160429.5092449798,1060354.3139437574
2021-12-29,1161420.0185986175,1062988.374265753
2021-12-30,1153760.1000347747,1060350.4448440492
2021-12-31,1148147.2136974945,1058609.0085841666
2022-01-03,1159043.0209637298,1065797.568248074
2022-01-04,1146760.6232281341,1072049.0092032226
2022-01-05,1111498.46980101,1060613.543624213
2022-01-06,1105885.3790875091,1055642.4332813583
2022-01-07,1095716.1292858734,1055502.3491125081
2022-01-10,1095914.1698437347,1050759.9708406439
2022-01-11,1109054.9477062835,1056095.4593383793
2022-01-12,1114271.7529278412,1057211.239416021
2022-01-13,1085414.750257553,1052063.629848238
2022-01-14,1094593.490705551,1046184.4190444371
2022-01-18,1068312.0371685638,1030355.8183407617
2022-01-19,1053388.1789684906,1020456.1577518436
2022-01-20,1039785.2042828217,1011330.3171045842
2022-01-21,1019116.3305187837,998220.3279312357
2022-01-24,1024399.2514477387,1001108.155675275
2022-01-25,1000692.9382916108,999163.022695456
2022-01-26,1006569.7765179292,995386.3261919615
2022-01-27,999636.3132305756,995173.4119109552
2022-01-28,1043351.0583935395,1011623.9134942136
