time/iterations,time/total_timesteps,train/reward,train/explained_variance,train/learning_rate,time/time_elapsed,train/value_loss,time/fps,train/std,train/entropy_loss,train/policy_loss,train/n_updates
100,500,0.17270142,-0.007481217384338379,0.0007,2,2.564613103866577,167,0.9962073564529419,-12.73062801361084,-9.088117599487305,99
200,1000,0.12963721,-1.5215599536895752,0.0007,5,2.620389461517334,174,0.9986384510993958,-12.755244255065918,-12.7727689743042,199
300,1500,-1.3534459,-0.4500260353088379,0.0007,8,1.016198992729187,174,0.9938549399375916,-12.713582992553711,7.191145420074463,299
400,2000,-0.14883387,-0.1264171600341797,0.0007,11,7.307034492492676,175,0.9955301284790039,-12.728649139404297,-29.518625259399414,399
500,2500,-0.66405034,-1.7250568866729736,0.0007,14,1.99955153465271,175,0.9977696537971497,-12.743803977966309,5.166503429412842,499
600,3000,0.09916345,-499.10235595703125,0.0007,17,16.527305603027344,175,0.995768666267395,-12.727581024169922,48.1771125793457,599
700,3500,-0.1111851,0.0,0.0007,20,0.014520442113280296,174,0.9974539279937744,-12.744974136352539,-0.38317689299583435,699
800,4000,0.003986576,0.0,0.0007,23,0.018540402874350548,172,1.001084566116333,-12.778564453125,-0.389404833316803,799
900,4500,0.43583065,-1.1920928955078125e-07,0.0007,25,0.10182458162307739,173,1.0053755044937134,-12.816976547241211,1.8970251083374023,899
1000,5000,0.98413104,1.1920928955078125e-07,0.0007,28,5.12149715423584,172,1.0083955526351929,-12.840974807739258,-21.5069580078125,999
1100,5500,-0.2890147,0.0,0.0007,31,3.7034759521484375,172,1.0132328271865845,-12.886404037475586,21.226593017578125,1099
1200,6000,-0.4177447,0.0,0.0007,34,0.39532431960105896,172,1.0146716833114624,-12.894105911254883,-6.872955322265625,1199
1300,6500,0.0847871,-1.1920928955078125e-07,0.0007,38,0.4078958034515381,167,1.0201776027679443,-12.940179824829102,-5.935101509094238,1299
1400,7000,0.21038486,5.960464477539063e-08,0.0007,43,0.421284019947052,159,1.025781512260437,-12.995405197143555,7.518015384674072,1399
1500,7500,-0.650406,1.1920928955078125e-07,0.0007,48,0.06588109582662582,154,1.0281531810760498,-13.01390552520752,1.1839962005615234,1499
1600,8000,-0.15097241,0.0,0.0007,52,0.5471963286399841,151,1.0285059213638306,-13.014413833618164,5.543722629547119,1599
1700,8500,3.182629,1.1920928955078125e-07,0.0007,57,19.96135711669922,148,1.0272552967071533,-13.001690864562988,60.425758361816406,1699
1800,9000,0.11713747,0.0,0.0007,61,1.4034786224365234,145,1.0299482345581055,-13.029792785644531,-13.47700309753418,1799
1900,9500,0.16204655,0.0,0.0007,65,0.7597731351852417,144,1.0333107709884644,-13.059793472290039,-11.41093635559082,1899
2000,10000,0.010476962,-1.153066873550415,0.0007,70,0.01695421151816845,142,1.038215160369873,-13.095309257507324,-0.046727944165468216,1999
2100,10500,0.74119085,0.3401963710784912,0.0007,74,0.13567155599594116,140,1.0419065952301025,-13.129926681518555,-2.306051731109619,2099
2200,11000,-0.39493418,-1.1920928955078125e-07,0.0007,80,0.10298013687133789,136,1.0455492734909058,-13.166170120239258,0.09874816238880157,2199
2300,11500,0.98324466,0.0,0.0007,84,8.437925338745117,135,1.042190432548523,-13.130594253540039,37.451759338378906,2299
2400,12000,0.073184304,0.0,0.0007,88,0.11999968439340591,135,1.0434107780456543,-13.1494140625,2.776359796524048,2399
2500,12500,0.30496526,0.0,0.0007,93,0.1280556619167328,134,1.0483661890029907,-13.188222885131836,-3.646803379058838,2499
2600,13000,0.2383139,0.0,0.0007,97,0.18211086094379425,133,1.0535000562667847,-13.230389595031738,3.6893601417541504,2599
2700,13500,-0.26672053,0.0,0.0007,101,0.05539543181657791,132,1.0560957193374634,-13.251913070678711,-2.6991097927093506,2699
2800,14000,0.44803798,0.4793352484703064,0.0007,105,0.6042515635490417,132,1.0576980113983154,-13.26484489440918,-8.058420181274414,2799
2900,14500,0.028115049,-0.0298004150390625,0.0007,109,3.539654493331909,132,1.059555172920227,-13.275601387023926,19.70330238342285,2899
3000,15000,-0.39619124,0.0,0.0007,113,0.019556021317839622,131,1.060997486114502,-13.288717269897461,1.8009124994277954,2999
3100,15500,0.179102,-1.1920928955078125e-07,0.0007,117,1.129293441772461,131,1.0669257640838623,-13.337719917297363,-10.900616645812988,3099
3200,16000,0.25899142,1.1920928955078125e-07,0.0007,121,2.4458060264587402,131,1.0673917531967163,-13.347892761230469,16.187341690063477,3199
3300,16500,-0.3744238,1.1920928955078125e-07,0.0007,125,0.07588798552751541,131,1.0654865503311157,-13.327143669128418,2.1352908611297607,3299
3400,17000,-0.26113194,0.0789482593536377,0.0007,130,14.624038696289062,130,1.0637134313583374,-13.314340591430664,-31.300146102905273,3399
3500,17500,-0.28485137,-1.1920928955078125e-07,0.0007,134,8.734258651733398,130,1.0613864660263062,-13.298627853393555,30.86208152770996,3499
3600,18000,-0.03385309,0.0,0.0007,139,0.35886603593826294,129,1.0596368312835693,-13.281399726867676,6.527589321136475,3599
3700,18500,-0.26686263,1.1920928955078125e-07,0.0007,144,0.3426015377044678,127,1.0600314140319824,-13.282824516296387,0.08999843895435333,3699
3800,19000,-0.12383908,1.1920928955078125e-07,0.0007,148,3.4779555797576904,127,1.059263825416565,-13.277453422546387,13.664324760437012,3799
3900,19500,0.49485192,1.1920928955078125e-07,0.0007,153,0.41028890013694763,127,1.0600324869155884,-13.282365798950195,3.2832863330841064,3899
4000,20000,-2.2884,-0.005714058876037598,0.0007,157,6.485749244689941,127,1.0566799640655518,-13.252484321594238,-36.308475494384766,3999
4100,20500,1.2027653,-0.003378748893737793,0.0007,161,5.365572929382324,127,1.06026029586792,-13.27782917022705,-25.572816848754883,4099
4200,21000,-0.21175285,-15.122049331665039,0.0007,165,0.4479323923587799,126,1.0580823421478271,-13.26222038269043,3.2997939586639404,4199
4300,21500,-0.043732617,-14.432743072509766,0.0007,169,0.13460499048233032,126,1.0624125003814697,-13.299064636230469,-3.9966156482696533,4299
4400,22000,-0.36523104,0.0,0.0007,174,0.04994266480207443,126,1.0709228515625,-13.366462707519531,-2.7345821857452393,4399
4500,22500,-0.07342412,0.29496657848358154,0.0007,178,0.002407063962891698,126,1.0769379138946533,-13.417935371398926,-0.5872912406921387,4499
4600,23000,-0.0009878365,-3.944490909576416,0.0007,182,0.0084114670753479,126,1.0803451538085938,-13.446626663208008,0.9418571591377258,4599
4700,23500,0.05062861,-17.02630043029785,0.0007,186,0.01255541481077671,126,1.088122844696045,-13.51176643371582,1.1844624280929565,4699
4800,24000,-0.3107841,-0.159967303276062,0.0007,190,0.1312752664089203,126,1.0937526226043701,-13.557101249694824,-3.478436231613159,4799
4900,24500,0.15899636,0.12705552577972412,0.0007,194,0.2235526144504547,126,1.0971447229385376,-13.583917617797852,6.282801628112793,4899
5000,25000,0.17280173,0.6294210255146027,0.0007,198,0.27292126417160034,126,1.0988932847976685,-13.599530220031738,-7.182804107666016,4999
5100,25500,-0.0038922708,-0.29013192653656006,0.0007,202,0.37189775705337524,125,1.1015849113464355,-13.620168685913086,7.649933815002441,5099
5200,26000,-0.04553117,-0.08672773838043213,0.0007,208,0.25709325075149536,124,1.1041486263275146,-13.643514633178711,-6.291688442230225,5199
5300,26500,-0.2770511,0.14092546701431274,0.0007,213,0.1208864226937294,124,1.1104153394699097,-13.692581176757812,4.320031642913818,5299
5400,27000,-0.23372854,0.04461091756820679,0.0007,217,0.2751336693763733,124,1.1176772117614746,-13.748754501342773,-6.276244163513184,5399
5500,27500,0.062561035,-0.3094654083251953,0.0007,221,0.38386279344558716,124,1.123012900352478,-13.792523384094238,7.9247002601623535,5499
5600,28000,0.29564568,0.05261802673339844,0.0007,225,0.4358859062194824,123,1.1230418682098389,-13.785664558410645,-3.28716778755188,5599
5700,28500,0.18766841,0.14657533168792725,0.0007,230,0.28869783878326416,123,1.1268478631973267,-13.821676254272461,5.146679878234863,5699
5800,29000,0.14245458,-0.16472184658050537,0.0007,234,0.3507341742515564,123,1.1293036937713623,-13.83186149597168,8.425575256347656,5799
5900,29500,-0.1471332,0.01124495267868042,0.0007,238,0.0835704505443573,123,1.1305336952209473,-13.841512680053711,0.42318326234817505,5899
6000,30000,0.1286945,0.0,0.0007,242,0.5747519135475159,123,1.1368861198425293,-13.890551567077637,-8.834226608276367,5999
6100,30500,0.04787167,0.0804397463798523,0.0007,246,0.04754319414496422,123,1.1415382623672485,-13.93262767791748,2.396306276321411,6099
6200,31000,-0.70093524,-0.05425584316253662,0.0007,250,2.701805591583252,123,1.1439528465270996,-13.95445728302002,-19.033422470092773,6199
6300,31500,0.03707753,-1.1920928955078125e-07,0.0007,254,0.07496240735054016,123,1.1442110538482666,-13.955021858215332,2.0186679363250732,6299
6400,32000,0.4742335,0.0,0.0007,258,0.2146410197019577,123,1.1471340656280518,-13.981409072875977,0.29794758558273315,6399
6500,32500,-0.3497714,1.1920928955078125e-07,0.0007,263,5.88299036026001,123,1.1472922563552856,-13.974230766296387,33.525882720947266,6499
6600,33000,-0.5930325,5.960464477539063e-08,0.0007,267,0.36092904210090637,123,1.1490100622177124,-13.98548412322998,-7.266352653503418,6599
6700,33500,0.28466806,5.960464477539063e-08,0.0007,273,0.08375336229801178,122,1.1577401161193848,-14.055551528930664,-3.62614369392395,6699
