account_rewards,date
603.4599314689403,2020-10-30
422.9035840720171,2020-11-02
617.2127682992723,2020-11-03
-37.940657367696986,2020-11-04
-51.341129333595745,2020-11-05
634.7825569075067,2020-11-06
-16.42008620442357,2020-11-09
8.071507568354718,2020-11-10
-553.6697040939471,2020-11-11
455.1654499436263,2020-11-12
1155.8456556358142,2020-11-13
-254.32655713660643,2020-11-16
-875.3419472083915,2020-11-17
322.0472764588194,2020-11-18
-462.0815631179139,2020-11-19
527.807687810855,2020-11-20
1272.6098632698413,2020-11-23
-401.8464027097216,2020-11-24
146.10490843968,2020-11-25
-799.9530031397007,2020-11-27
945.1990856170887,2020-11-30
104.41376282880083,2020-12-01
-343.8949099845486,2020-12-02
1744.3578436432872,2020-12-03
-754.3068740767194,2020-12-04
513.004686393775,2020-12-07
-762.5135059680324,2020-12-08
258.0801562728593,2020-12-09
-620.9861747360555,2020-12-10
-1246.219159137574,2020-12-11
2340.123642848921,2020-12-14
-46.01464168529492,2020-12-15
595.5937229003757,2020-12-16
-613.3953376141144,2020-12-17
-544.08044534293,2020-12-18
-68.22559402661864,2020-12-21
125.18814846803434,2020-12-22
345.6358332368545,2020-12-23
625.3770063590491,2020-12-24
-434.22798291023355,2020-12-28
424.5044376106234,2020-12-29
500.4350153770065,2020-12-30
-2130.619655040675,2020-12-31
1244.10650080489,2021-01-04
1295.9845681076404,2021-01-05
1869.3758140142309,2021-01-06
1099.4387749136658,2021-01-07
-655.0701101112645,2021-01-08
282.3196281393757,2021-01-11
825.5387536508497,2021-01-12
-422.195834590937,2021-01-13
-1538.434886398376,2021-01-14
809.5843720170669,2021-01-15
1744.026054084883,2021-01-19
-683.7379038924119,2021-01-20
-806.4700085812947,2021-01-21
940.4509589156369,2021-01-22
-1059.0645880813245,2021-01-25
-5662.261383243604,2021-01-26
2321.589305515401,2021-01-27
-4210.7887525236,2021-01-28
2252.153388849343,2021-01-29
